2026-02-12 18:13:07 | INFO     | DF | Running on torch 2.2.2
2026-03-06 15:40:03 | INFO     | DF | Loading model settings of DeepFilterNet3
2026-03-06 15:40:03 | INFO     | DF | Initializing model `deepfilternet3`
2026-03-06 15:40:03 | INFO     | DF | Found checkpoint /Users/sumit/Downloads/untitled folder/Main Folder/Sumit /Voice_editor/models/DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2026-03-06 15:40:03 | INFO     | DF | Running on device cpu
2026-03-06 15:40:03 | INFO     | DF | Model loaded
2026-03-06 16:04:26 | INFO     | DF | Running on torch 2.2.2
2026-03-06 16:04:26 | INFO     | DF | Running on host sumits-MacBook-Air.local
2026-03-06 16:04:26 | INFO     | DF | Loading model settings of DeepFilterNet3
2026-03-06 16:04:26 | INFO     | DF | Initializing model `deepfilternet3`
2026-03-06 16:04:26 | INFO     | DF | Found checkpoint /Users/sumit/Downloads/untitled folder/Main Folder/Sumit /Voice_editor/models/DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2026-03-06 16:04:26 | INFO     | DF | Running on device cpu
2026-03-06 16:04:26 | INFO     | DF | Model loaded
2026-03-07 23:10:37 | INFO     | DF | Running on torch 2.2.2
2026-03-07 23:10:37 | INFO     | DF | Running on host sumits-MacBook-Air.local
2026-03-07 23:10:37 | INFO     | DF | Loading model settings of DeepFilterNet3
2026-03-07 23:10:37 | INFO     | DF | Initializing model `deepfilternet3`
2026-03-07 23:10:37 | INFO     | DF | Found checkpoint /Users/sumit/Downloads/untitled folder/Main Folder/Sumit /Voice_editor/models/DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2026-03-07 23:10:37 | INFO     | DF | Running on device cpu
2026-03-07 23:10:37 | INFO     | DF | Model loaded
2026-03-14 22:00:45 | INFO     | DF | Running on torch 2.4.1+cpu
2026-03-14 22:00:45 | INFO     | DF | Running on host kartik
2026-03-14 22:00:45 | INFO     | DF | Loading model settings of DeepFilterNet3
2026-03-14 22:00:46 | INFO     | DF | Initializing model `deepfilternet3`
2026-03-14 22:00:46 | INFO     | DF | Found checkpoint D:\Ai_voicegenerater\Ai_voicegenerater\ui\ui\Voice_editor\Voice_editor\models\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2026-03-14 22:00:46 | INFO     | DF | Running on device cpu
2026-03-14 22:00:46 | INFO     | DF | Model loaded
2026-03-14 22:03:25 | INFO     | DF | Running on torch 2.4.1+cpu
2026-03-14 22:03:25 | INFO     | DF | Running on host kartik
2026-03-14 22:03:25 | INFO     | DF | Loading model settings of DeepFilterNet3
2026-03-14 22:03:25 | INFO     | DF | Initializing model `deepfilternet3`
2026-03-14 22:03:26 | INFO     | DF | Found checkpoint D:\Ai_voicegenerater\Ai_voicegenerater\ui\ui\Voice_editor\Voice_editor\models\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2026-03-14 22:03:26 | INFO     | DF | Running on device cpu
2026-03-14 22:03:26 | INFO     | DF | Model loaded
2026-03-14 22:32:42 | INFO     | DF | Running on torch 2.4.1+cpu
2026-03-14 22:32:42 | INFO     | DF | Running on host kartik
2026-03-14 22:32:43 | INFO     | DF | Loading model settings of DeepFilterNet3
2026-03-14 22:32:43 | INFO     | DF | Initializing model `deepfilternet3`
2026-03-14 22:32:44 | INFO     | DF | Found checkpoint D:\Ai_voicegenerater\Ai_voicegenerater\ui\ui\Voice_editor\Voice_editor\models\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2026-03-14 22:32:44 | INFO     | DF | Running on device cpu
2026-03-14 22:32:44 | INFO     | DF | Model loaded
2026-03-14 23:58:12 | INFO     | DF | Running on torch 2.4.1+cpu
2026-03-14 23:58:12 | INFO     | DF | Running on host kartik
2026-03-14 23:58:12 | INFO     | DF | Loading model settings of DeepFilterNet3
2026-03-14 23:58:12 | INFO     | DF | Initializing model `deepfilternet3`
2026-03-14 23:58:12 | INFO     | DF | Found checkpoint D:\Ai_voicegenerater\Ai_voicegenerater\backend\Voice_editor\Voice_editor\models\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2026-03-14 23:58:12 | INFO     | DF | Running on device cpu
2026-03-14 23:58:12 | INFO     | DF | Model loaded
2026-03-15 00:01:25 | INFO     | DF | Running on torch 2.4.1+cpu
2026-03-15 00:01:25 | INFO     | DF | Running on host kartik
2026-03-15 00:01:25 | INFO     | DF | Loading model settings of DeepFilterNet3
2026-03-15 00:01:25 | INFO     | DF | Initializing model `deepfilternet3`
2026-03-15 00:01:25 | INFO     | DF | Found checkpoint D:\Ai_voicegenerater\Ai_voicegenerater\backend\Voice_editor\Voice_editor\models\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2026-03-15 00:01:25 | INFO     | DF | Running on device cpu
2026-03-15 00:01:25 | INFO     | DF | Model loaded
2026-03-15 00:17:13 | INFO     | DF | Running on torch 2.4.1+cpu
2026-03-15 00:17:13 | INFO     | DF | Running on host kartik
2026-03-15 00:17:13 | INFO     | DF | Loading model settings of DeepFilterNet3
2026-03-15 00:17:13 | INFO     | DF | Initializing model `deepfilternet3`
2026-03-15 00:17:13 | INFO     | DF | Found checkpoint D:\Ai_voicegenerater\Ai_voicegenerater\backend\Voice_editor\Voice_editor\models\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2026-03-15 00:17:13 | INFO     | DF | Running on device cpu
2026-03-15 00:17:13 | INFO     | DF | Model loaded
